carid,tradeTime,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,registerDate,licenseDate,country,makertype,modelyear,displacement,gearbox,oiltype,newprice,aF1,aF2,aF3,aF4,aF5,aF6,aF7,aF8,aF9,aF10,aF11,aF13,aF14,aF15,aF12_1,aF12_2,aF12_3,timespan
3.0,1.0,1.1451612903225805,1.014446227929374,1.0014136495719783,2.3408988764044945,2.0,1.3157894736842104,1.0,1.0,7.428571428571429,8.3125,8.200000000000045,5.5,5.5,8.0,2.867924528301887,1.473684210526316,1.0,1.6348854865241047,1.0,2.1999999999999997,2.125,1.0174249757986447,1.1071428571428572,1.0,9.35714285714289,2.2857142857142856,10.0,5.5,3.25,7.600000000000136,1.0,10.0,7.11104199066874,6.552367288378765,6.6543209876543195,2.8
4.0,1.0,1.217741935483871,1.021669341894061,1.0021204743579675,2.6240449438202242,3.0,1.0,2.8,3.25,3.5714285714285716,4.9375,5.2000000000000455,1.0,10.0,4.5,2.1886792452830193,1.473684210526316,1.0,1.6610780716183728,1.0,2.8,2.125,1.0261374636979672,1.1607142857142856,2.5,7.4285714285715585,1.0,4.0,5.5,3.25,3.400000000000091,4.0,10.0,3.8777604976671842,3.427546628407459,2.617283950617285,5.8
8.0,1.0,1.5080645161290323,1.050561797752809,1.004947773501924,3.0588764044943817,5.0,1.0,2.8,1.0,4.857142857142858,4.9375,4.600000000000136,1.900000000023283,5.5,7.5,2.1886792452830193,2.1842105263157894,1.0,1.1110337846387448,1.0,1.6,2.125,2.8616367553242212,1.375,1.75,9.35714285714289,1.0,7.0,10.0,3.25,3.400000000000091,1.0,10.0,5.814930015552099,3.3113342898134874,2.716049382716051,6.3999999999999995
9.0,1.0,1.5806451612903225,1.057784911717496,1.0056545982879133,1.4570786516853933,2.0,1.1578947368421053,6.4,1.0,4.857142857142858,8.875,9.400000000000091,2.800000000046566,1.0,8.5,2.018867924528302,2.4210526315789473,1.0,1.1286853093761862,1.0,3.4,2.125,1.0696999031945789,1.4285714285714284,1.0,9.35714285714289,2.2857142857142856,10.0,5.5,3.25,8.799999999999955,4.0,10.0,6.469984447900467,5.325681492109037,6.296296296296298,1.6
11.0,1.0,1.5080645161290323,1.07223113964687,1.0070682478598916,2.419775280898876,2.0,1.3157894736842104,1.0,1.0,4.857142857142858,8.3125,8.799999999999955,1.900000000023283,5.5,8.5,2.867924528301887,2.4210526315789473,1.0,1.5155953435404277,1.0,3.9999999999999996,2.125,1.0871248789932237,1.4821428571428572,1.75,9.35714285714289,2.2857142857142856,7.0,5.5,3.25,8.200000000000045,1.0,10.0,7.265007776049767,5.403156384505021,3.382716049382715,2.2
15.0,1.0,1.7258064516129032,1.101123595505618,1.0098955470038482,3.48561797752809,2.0,1.3157894736842104,1.0,1.0,4.857142857142858,7.75,7.600000000000136,1.900000000023283,5.5,8.0,3.716981132075472,1.236842105263158,1.0,2.2156775907883084,1.0,5.2,2.125,2.8616367553242212,1.5892857142857142,1.75,9.35714285714289,1.0,7.0,10.0,10.0,7.600000000000136,1.0,10.0,7.5533437013996885,5.893830703012913,3.3456790123456805,3.4
17.0,1.0,1.7983870967741935,1.115569823434992,1.0113091965758265,2.468314606741573,1.0,1.0,1.0,2.125,4.857142857142858,7.1875,7.0,4.599999999976717,5.5,6.5,3.547169811320755,2.6578947368421053,1.0,1.5494748829558396,1.0,3.9999999999999996,2.125,1.1132623426911907,1.6428571428571428,1.75,9.35714285714289,1.0,7.0,10.0,3.25,5.7999999999999545,1.0,10.0,7.00466562986003,5.58393113342898,3.333333333333332,4.0
19.0,1.0,1.943548387096774,1.130016051364366,1.0127228461478048,2.215505617977528,1.0,1.4736842105263157,1.0,1.0,4.857142857142858,7.75,7.600000000000136,1.900000000023283,5.5,7.0,2.018867924528302,1.7105263157894737,1.0,1.1366569657092245,1.0,1.0,2.125,1.1306873184898354,1.75,1.0,9.35714285714289,1.0,10.0,5.5,1.0,7.0,1.0,10.0,5.493001555209954,5.1319942611190825,5.493827160493826,3.4
21.0,1.0,1.3629032258064515,1.137239165329053,1.0141364957197831,2.1507865168539326,6.0,1.3157894736842104,1.0,1.0,4.857142857142858,7.75,7.600000000000136,2.800000000046566,1.0,7.0,1.679245283018868,3.131578947368421,1.0,1.179362267493357,1.0,3.4,2.125,2.8616367553242212,1.2678571428571428,1.0,9.35714285714289,2.2857142857142856,10.0,5.5,1.0,7.0,4.0,10.0,5.884914463452565,5.364418938307029,4.506172839506174,3.4
27.0,1.0,2.161290322580645,1.166131621187801,1.0183774444357183,4.434157303370786,7.0,1.631578947368421,2.8,1.0,4.857142857142858,6.0625,5.7999999999999545,2.800000000046566,1.0,6.0,2.018867924528302,3.6052631578947367,1.0,1.1739529292673667,1.0,2.1999999999999997,2.125,1.1568247821878026,1.9642857142857142,1.0,9.35714285714289,2.2857142857142856,10.0,5.5,3.25,5.7999999999999545,1.0,10.0,6.920684292379471,5.648493543758967,6.543209876543209,5.2
